a	(ā) 
acyclovir	(ā-sī'klō-vîr, -klə-) 
acyl	(ās'əl) 
Ada	(ā'də) 
ad	(ād) 
adage	(ād'ĭj) 
adagio	(ə-dä'jō, -jē-ō', -zhō, -zhē-ō) 
Adam	(ād'əm) 
adaptable	(ə-dāp'tə-bəl) 
adaptation	(ād'āp-tā'shən) 
adapt	(ə-dāpt') 
adaptive	(ə-dāp'tĭv) 
Adar	(ä-där', ä'där) 
Adar Sheni	(shā-nē') 
add	(ād) 
addax	(ād'āks') 
addend	(ād'ěnd') 
addend	(ād'ěnd', ə-děnd') 
adder	(ād'ər) 
addict	(ə-dĭkt') 
addiction	(ə-dĭk'shən) 
additive	(ād'ĭ-tĭv) 
addle	(ād'l) 
addressee	(ād'rě-sē', ə-drěs'ē') 
adduce	(ə-dōōs', ə-dyōōs') 
adduct	(ə-dŭkt', ā-dŭkt') 
ademption	(ə-děmp'shən) 
Aden	(äd'n, ād'n) 
adenectomy	(ād'n-ěk'tə-mē) 
adenocarcinoma	(ād'n-ō-kär'sə-nō'mə) 
adenohypophysis	(ād'n-ō-hī-pŏf'ĭ-sĭs) 
adenomyosis	(ād'n-ō-mī-ō'sĭs) 
adenosine	(ə-děn'ə-sēn') 
adenovirus	(ād'n-ō-vī'rəs) 
adept	(ə-děpt') 
adequate	(ād'ĭ-kwĭt) 
adhere	(ād-hîr') 
adherence	(ād-hîr'əns, -hěr'-) 
adhesive	(ād-hē'sĭv) 
adhesive	(ād-hē'sĭv, -zĭv) 
adieu	(ə-dyōō', ə-dōō') 
Adige	(ä'dĭ-jā', ä'dē-jě') 
adios	(ä'dē-ōs') 
adipocere	(ād'ə-pō-sîr') 
adipocyte	(ād'ə-pō-sīt') 
adipose	(ād'ə-pōs') 
adit	(ād'ĭt) 
adjacency	(ə-jā'sən-sē) 
adjective	(āj'ĭk-tĭv) 
adjoin	(ə-join') 
adjourn	(ə-jûrn') 
adjudicate	(ə-jōō'dĭ-kāt') 
adjunct	(āj'ŭngkt') 
adjuration	(āj'ə-rā'shən) 
adjure	(ə-jŏŏr') 
adjust	(ə-jŭst') 
adjustment	(ə-jŭst'mənt) 
adjutant	(āj'ə-tənt) 
adman	(ād'mān') 
admeasure	(ād-mězh'ər) 
administer	(ād-mĭn'ĭ-stər) 
administrate	(ād-mĭn'ĭ-strāt') 
administration	(ād-mĭn'ĭ-strā'shən) 
administrator	(ād-mĭn'ĭ-strā'tər) 
admirable	(ād'mər-ə-bəl) 
admiralty	(ād'mər-əl-tē) 
admiration	(ād'mə-rā'shən) 
