a	(ā) 
actinoid	(āk'tə-noid') 
actinolite	(āk-tĭn'ə-līt') 
actinomere	(āk-tĭn'ə-mîr') 
actinometer	(āk'tə-nŏm'ĭ-tər) 
actinomorphic	(āk'tə-nō-môr'fĭk) 
actinomyces	(āk'tə-nō-mī'sēz') 
actinomycete	(āk'tə-nō-mī'sēt') 
actinomycete	(āk'tə-nō-mī'sēt', -mī-sēt') 
actinomycin	(āk'tə-nō-mī'sĭn) 
actinomycosis	(āk'tə-nō-mī-kō'sĭs) 
actinon	(āk'tə-nŏn') 
actinouranium	(āk'tə-nō-yŏŏ-rā'nē-əm) 
action	(āk'shən) 
Actium	(āk'shē-əm, -tē-) 
Activase	(āk'tə-vās') 
activate	(āk'tə-vāt') 
active	(āk'tĭv) 
activism	(āk'tə-vĭz'əm) 
activist	(āk'tə-vĭst) 
activity	(āk-tĭv'ĭ-tē) 
actomyosin	(āk'tə-mī'ə-sĭn) 
actor	(āk'tər) 
actress	(āk'trĭs) 
Acts of the Apostles	(ākts) 
actual	(āk'chōō-əl) 
actuality	(āk'chōō-āl'ĭ-tē) 
actualize	(āk'chōō-ə-līz') 
actually	(āk'chōō-ə-lē) 
actuary	(āk'chōō-ěr'ē) 
actuate	(āk'chōō-āt') 
actuator	(āk'chōō-ā'tər) 
acuity	(ə-kyōō'ĭ-tē) 
acumen	(āk'yə-mən, ə-kyōō'-) 
acuminate	(ə-kyōō'mə-nĭt, -nāt') 
acupressure	(āk'yə-prěsh'ər) 
acupuncture	(āk'yŏŏ-pŭngk'chər) 
acupuncture	(āk'y-pŭngk'chər) 
acute	(ə-kyōōt') 
acute	(ə-kyt') 
acyclic	(ā-sī'klĭk, ā-sĭk'lĭk) 
acyclovir	(ā-sī'klō-vîr, -klə-) 
acyl	(ās'əl) 
Ada	(ā'də) 
ad	(ād) 
adage	(ād'ĭj) 
adagio	(ə-dä'jō, -jē-ō', -zhō, -zhē-ō) 
Adam	(ād'əm) 
adamant	(ād'ə-mənt, -mānt') 
adaptable	(ə-dāp'tə-bəl) 
adaptation	(ād'āp-tā'shən) 
adapt	(ə-dāpt') 
adaption	(ə-dāp'shən) 
adaptive	(ə-dāp'tĭv) 
adaptor	(ə-dāp'tər) 
Adar	(ä-där', ä'där) 
Adar Sheni	(shā-nē') 
add	(ād) 
addax	(ād'āks') 
addend	(ād'ěnd') 
addend	(ād'ěnd', ə-děnd') 
addendum	(ə-děn'dəm) 
adder	(ād'ər) 
addict	(ə-dĭkt') 
addiction	(ə-dĭk'shən) 
addition	(ə-dĭsh'ən) 
additive	(ād'ĭ-tĭv) 
addle	(ād'l) 
address	(ə-drěs') 
addressee	(ād'rě-sē', ə-drěs'ē') 
adduce	(ə-dōōs', ə-dyōōs') 
adduct	(ə-dŭkt', ā-dŭkt') 
adductor	(ə-dŭk'tər) 
Adelaide	(ād'l-ād') 
ademption	(ə-děmp'shən) 
Aden	(äd'n, ād'n) 
adenectomy	(ād'n-ěk'tə-mē) 
adenine	(ād'n-ēn') 
adenine	(ād'n-ēn', -ĭn) 
adenitis	(ād'n-ī'tĭs) 
adenocarcinoma	(ād'n-ō-kär'sə-nō'mə) 
adenohypophysis	(ād'n-ō-hī-pŏf'ĭ-sĭs) 
adenoid	(ād'n-oid') 
adenoma	(ād'n-ō'mə) 
adenomyosis	(ād'n-ō-mī-ō'sĭs) 
adenosine	(ə-děn'ə-sēn') 
adenosis	(ād'n-ō'sĭs) 
adenovirus	(ād'n-ō-vī'rəs) 
adept	(ə-děpt') 
adequate	(ād'ĭ-kwĭt) 
adhere	(ād-hîr') 
adherence	(ād-hîr'əns, -hěr'-) 
adherent	(ād-hîr'ənt, -hěr'-) 
adhesion	(ād-hē'zhən) 
adhesive	(ād-hē'sĭv) 
adhesive	(ād-hē'sĭv, -zĭv) 
adieu	(ə-dyōō', ə-dōō') 
Adige	(ä'dĭ-jā', ä'dē-jě') 
adios	(ä'dē-ōs') 
adipocere	(ād'ə-pō-sîr') 
adipocyte	(ād'ə-pō-sīt') 
adipose	(ād'ə-pōs') 
adit	(ād'ĭt) 
adjacency	(ə-jā'sən-sē) 
adjective	(āj'ĭk-tĭv) 
adjoin	(ə-join') 
adjourn	(ə-jûrn') 
adjudge	(ə-jŭj') 
adjudicate	(ə-jōō'dĭ-kāt') 
adjunct	(āj'ŭngkt') 
adjuration	(āj'ə-rā'shən) 
adjure	(ə-jŏŏr') 
adjust	(ə-jŭst') 
adjustment	(ə-jŭst'mənt) 
adjutant	(āj'ə-tənt) 
adjuvant	(āj'ə-vənt) 
adman	(ād'mān') 
admeasure	(ād-mězh'ər) 
administer	(ād-mĭn'ĭ-stər) 
administrate	(ād-mĭn'ĭ-strāt') 
administration	(ād-mĭn'ĭ-strā'shən) 
administrator	(ād-mĭn'ĭ-strā'tər) 
admirable	(ād'mər-ə-bəl) 
admiral	(ād'mər-əl) 
admiralty	(ād'mər-əl-tē) 
admiration	(ād'mə-rā'shən) 
admire	(ād-mīr') 
admissible	(ād-mĭs'ə-bəl) 
admission	(ād-mĭsh'ən) 
admit	(ād-mĭt') 
admittance	(ād-mĭt'ns) 
admix	(ād-mĭks') 
admixture	(ād-mĭks'chər) 
admonish	(ād-mŏn'ĭsh) 
admonition	(ād'mə-nĭsh'ən) 
adnate	(ād'nāt') 
adnexa	(ād-něk'sə) 
adnoun	(ād'noun') 
adobe	(ə-dō'bē) 
adobo	(ä-dō'bō) 
ado	(ə-dōō') 
adolescence	(ād'l-ěs'əns) 
adolescent	(ād'l-ěs'ənt) 
Adonis	(ə-dŏn'ĭs, ə-dō'nĭs) 
adopt	(ə-dŏpt') 
adoptee	(ə-dŏp'tē, ə-dŏp-tē') 
adorable	(ə-dôr'ə-bəl, ə-dōr'-) 
adoration	(ād'ə-rā'shən) 
adore	(ə-dôr', ə-dōr') 
adorn	(ə-dôrn') 
adornment	(ə-dôrn'mənt) 
ADP	(ā'dē'pē') 
adrenalectomy	(ə-drē'nə-lěk'tə-mē) 
adrenal	(ə-drē'nəl) 
Adrenalin	(ə-drěn'ə-lĭn) 
adrenaline	(ə-drěn'ə-lĭn) 
adrenalize	(ə-drē'nə-līz', ə-drěn'ə-) 
adrenochrome	(ə-drē'nō-krōm', -nə-) 
adrenocorticosteroid	(ə-drē'nō-kôr'tĭ-kō-stîr'oid, -stěr'-) 
adrenocorticotropic hormone	(ə-drē'nō-kôr'tĭ-kō-trŏp'ĭk, -trō'pĭk) 
adrenocorticotropin	(ə-drē'nō-kôr'tĭ-kō-trŏp'ĭn, -trō'pĭn) 
Adriamycin	(ā'drē-ə-mī'sən) 
Adrianople	(ā'drē-ə-nō'pəl) 
adrift	(ə-drĭft') 
adroit	(ə-droit') 
adsorb	(ād-sôrb', -zôrb') 
adsorbate	(ād-sôr'bĭt, -bāt', -zôr'-) 
adsorbent	(ād-sôr'bənt, -zôr'-) 
adsorption	(ād-sôrp'shən) 
adsorption	(ād-sôrp'shən, -zôrp'-) 
adularia	(āj'ə-lâr'ē-ə, -lār'-) 
adulate	(āj'ə-lāt') 
adulation	(āj'ə-lā'shən) 
adult	(ə-dŭlt', ād'ŭlt) 
adulterant	(ə-dŭl'tər-ənt) 
adulterate	(ə-dŭl'tə-rāt') 
adulterer	(ə-dŭl'tər-ər) 
adulteress	(ə-dŭl'trĭs, -tər-ĭs) 
adulterine	(ə-dŭl'tə-rīn', -rēn') 
adultery	(ə-dŭl'tə-rē, -trē) 
adumbrate	(ād'əm-brāt', ə-dŭm'-) 
adust	(ə-dŭst') 
advance	(ād-vāns') 
advancement	(ād-vāns'mənt) 
advantage	(ād-vān'tĭj) 
advantageous	(ād'vān-tā'jəs, -vən-) 
advect	(ād-věkt') 
advection	(ād-věk'shən) 
advent	(ād'věnt') 
Adventist	(ād'věn'tĭst, ād-věn'-) 
adventitia	(ād'věn-tĭsh'ə, -vən-) 
adventitious	(ād'věn-tĭsh'əs, -vən-) 
adventive	(ād-věn'tĭv) 
adventure	(ād-věn'chər) 
adventurer	(ād-věn'chər-ər) 
adventuresome	(ād-věn'chər-səm) 
adventuress	(ād-věn'chər-ĭs) 
adventurism	(ād-věn'chə-rĭz'əm) 
adventurous	(ād-věn'chər-əs) 
adverb	(ād'vûrb) 
adverbial	(ād-vûr'bē-əl) 
adversary	(ād'vər-sěr'ē) 
adversative	(ād-vûr'sə-tĭv) 
adverse	(ād-vûrs', ād'vûrs') 
adversity	(ād-vûr'sĭ-tē) 
advert	(ād-vûrt') 
advert	(ād'vûrt) 
advertence	(ād-vûr'tns) 
advertency	(ād-vûr'tn-sē) 
advertise	(ād'vər-tīz') 
advertisement	(ād'vər-tīz'mənt, ād-vûr'tĭs-, -tĭz-) 
advertising	(ād'vər-tī'zĭng) 
advertorial	(ād'vər-tôr'ē-əl, -tōr'-) 
advice	(ād-vīs') 
advisable	(ād-vī'zə-bəl) 
advise	(ād-vīz') 
advisee	(ād-vī-zē') 
advisement	(ād-vīz'mənt) 
advisory	(ād-vī'zə-rē) 
advocacy	(ād'və-kə-sē) 
advocate	(ād'və-kāt') 
advowson	(ād-vou'zən) 
adynamia	(ād'ə-nā'mē-ə) 
adytum	(ād'ĭ-təm) 
adz	(ādz)
adze	(ādz)
Adzharia	(ə-jär'ē-ə)
aechmea	(ēk-mē'ə, ēk'mē-ə) 
aeciospore	(ē'sē-ə-spôr', -shē-) 
aeciospore	(ē'sē-ə-spôr', -spōr', -shē-) 
aecium	(ē'sē-əm, ē'shē-) 
aecium	(ē'sē-əm, ē'shē-əm) 
aedes	(ā-ē'dēz) 
aedile	(ē'dīl') 
Aegean	(ĭ-jē'ən) 
Aegina	(ĭ-jī'nə) 
Aegir	(āg'ər, ěj'ĭr) 
Aegospotami	(ē'gəs-pŏt'ə-mī') 
Aeneas	(ĭ-nē'əs) 
Aeolia	(ē-ō'lē-ə) 
aeolian	(ē-ō'lē-ən) 
Aeolian	(ē-ō'lē-ən) 
Aeolic	(ē-ŏl'ĭk) 
Aeolis	(ē'ə-lĭs) 
Aeolus	(ē'ə-ləs) 
aeon	(ē'ŏn', ē'ən) 
aeonian	(ē-ō'nē-ən) 
aepyornis	(ē'pē-ôr'nĭs) 
aequorin	(ē-kwôr'ĭn, ē-kwŏr'-) 
aerate	(âr'āt) 
aerator	(âr'ā'tər) 
aerenchyma	(â-rěng'kə-mə) 
aerial	(âr'ē-əl, ā-îr'ē-əl) 
aerialist	(âr'ē-ə-lĭst) 
aerie	(âr'ē, îr'ē)
aeroballistics	(âr'ō-bə-lĭs'tĭks) 
aerobatics	(âr'ə-bāt'ĭks) 
aerobe	(âr'ōb') 
aerobic	(â-rō'bĭk) 
aerobicize	(â-rō'bĭ-sīz') 
aerobiology	(âr'ō-bī-ŏl'ə-jē) 
aerobiosis	(âr'ō-bī-ō'sĭs) 
aerobium	(â-rō'bē-əm) 
aeroculture	(âr'ə-kŭl'chər) 
aerodrome	(âr'ə-drōm') 
aerodynamic	(âr'ō-dī-nām'ĭk) 
aerodynamics	(âr'ō-dī-nām'ĭks) 
aerodyne	(âr'ə-dīn') 
aeroembolism	(âr'ō-ěm'bə-lĭz'əm) 
aerofoil	(âr'ə-foil') 
aerogel	(âr'ə-jěl') 
aerolite	(âr'ə-līt') 
aerology	(â-rŏl'ə-jē) 
aeromagnetics	(âr'ō-māg-nět'ĭks) 
aeromedicine	(âr'ō-měd'ĭ-sĭn) 
aerometeorograph	(âr'ō-mē'tē-ôr'ə-grāf', -ŏr'-) 
aerometer	(â-rŏm'ĭ-tər) 
aeronaut	(âr'ə-nôt') 
